time,level,year,sin_month,cos_month,sin_dayofyear,cos_dayofyear
2017-01-22,11.523187499999999,2017,0.49999999999999994,0.8660254037844387,0.3694836834473831,0.9292372181882051
2017-01-23,11.524468749999999,2017,0.49999999999999994,0.8660254037844387,0.38541335945432564,0.9227440286201427
2017-01-24,11.519572916666666,2017,0.49999999999999994,0.8660254037844387,0.4012289854475009,0.9159777842484877
2017-01-25,11.513770833333332,2017,0.49999999999999994,0.8660254037844387,0.4169258813287287,0.908940487313808
2017-01-26,11.509635416666667,2017,0.49999999999999994,0.8660254037844387,0.4324994021339788,0.901634220265486
2017-01-27,11.507677083333332,2017,0.49999999999999994,0.8660254037844387,0.44794493940789115,0.8940611451454876
2017-01-28,11.501447916666665,2017,0.49999999999999994,0.8660254037844387,0.4632579225674917,0.88622350294858
2017-01-29,11.4968125,2017,0.49999999999999994,0.8660254037844387,0.4784338202547012,0.8781236129591848
2017-01-30,11.496281250000001,2017,0.49999999999999994,0.8660254037844387,0.49346814167723735,0.8697638720650646
2017-01-31,11.495989583333333,2017,0.49999999999999994,0.8660254037844387,0.5083564379375122,0.8611467540480452
2017-02-01,11.492458333333333,2017,0.8660254037844386,0.5000000000000001,0.5230943033491326,0.8522748088519838
2017-02-02,11.492229166666668,2017,0.8660254037844386,0.5000000000000001,0.5376773767406141,0.8431506618282
2017-02-03,11.49259375,2017,0.8660254037844386,0.5000000000000001,0.5521013427459208,0.8337770129585915
2017-02-04,11.496114583333332,2017,0.8660254037844386,0.5000000000000001,0.5663619330814524,0.8241566360566663
2017-02-05,11.495666666666667,2017,0.8660254037844386,0.5000000000000001,0.580454927809098,0.8142923779467267
2017-02-06,11.489885416666667,2017,0.8660254037844386,0.5000000000000001,0.5943761565849831,0.804187157621448
2017-02-07,11.48478125,2017,0.8660254037844386,0.5000000000000001,0.6081214998935418,0.7938439653781019
2017-02-08,11.48146875,2017,0.8660254037844386,0.5000000000000001,0.6216868902665479,0.7832658619336791
